Year,Province,Sector,Use of Funds,Current dollars,Current dollars per capita
2015,Saskatchewan,Provincial Government,Other Institutions,"759,483,176",678
2016,Saskatchewan,Provincial Government,Other Institutions,"782,204,424",689
2017,Saskatchewan,Provincial Government,Other Institutions,"797,715,436",693
2018,Saskatchewan,Provincial Government,Other Institutions,"803,913,268",692
2019,Saskatchewan,Provincial Government,Other Institutions,"820,346,459",701
1975,Saskatchewan,Provincial Government,Physicians,"52,420,000",57
1976,Saskatchewan,Provincial Government,Physicians,"60,396,500",65
1977,Saskatchewan,Provincial Government,Physicians,"67,234,500",71
1978,Saskatchewan,Provincial Government,Physicians,"73,359,750",77
1979,Saskatchewan,Provincial Government,Physicians,"80,718,250",84
1980,Saskatchewan,Provincial Government,Physicians,"94,073,750",97
1981,Saskatchewan,Provincial Government,Physicians,"111,514,750",114
1982,Saskatchewan,Provincial Government,Physicians,"135,006,000",137
1983,Saskatchewan,Provincial Government,Physicians,"150,408,000",150
1984,Saskatchewan,Provincial Government,Physicians,"163,026,500",161
1985,Saskatchewan,Provincial Government,Physicians,"175,320,500",171
1986,Saskatchewan,Provincial Government,Physicians,"191,983,500",187
1987,Saskatchewan,Provincial Government,Physicians,"200,782,500",194
1988,Saskatchewan,Provincial Government,Physicians,"209,658,250",204
1989,Saskatchewan,Provincial Government,Physicians,"233,213,000",229
1990,Saskatchewan,Provincial Government,Physicians,"249,321,500",247
1991,Saskatchewan,Provincial Government,Physicians,"262,351,250",262
1992,Saskatchewan,Provincial Government,Physicians,"265,310,000",264
1993,Saskatchewan,Provincial Government,Physicians,"251,674,616",250
1994,Saskatchewan,Provincial Government,Physicians,"283,503,474",281
1995,Saskatchewan,Provincial Government,Physicians,"295,239,162",291
1996,Saskatchewan,Provincial Government,Physicians,"298,063,400",293
1997,Saskatchewan,Provincial Government,Physicians,"320,023,068",314
1998,Saskatchewan,Provincial Government,Physicians,"334,281,521",329
1999,Saskatchewan,Provincial Government,Physicians,"352,754,458",348
2000,Saskatchewan,Provincial Government,Physicians,"390,977,280",388
2001,Saskatchewan,Provincial Government,Physicians,"424,711,724",425
2002,Saskatchewan,Provincial Government,Physicians,"457,707,046",459
2003,Saskatchewan,Provincial Government,Physicians,"483,223,145",485
2004,Saskatchewan,Provincial Government,Physicians,"526,286,887",528
2005,Saskatchewan,Provincial Government,Physicians,"577,705,436",581
2006,Saskatchewan,Provincial Government,Physicians,"616,547,528",621
2007,Saskatchewan,Provincial Government,Physicians,"638,450,735",637
2008,Saskatchewan,Provincial Government,Physicians,"678,418,556",667
2009,Saskatchewan,Provincial Government,Physicians,"723,447,020",699
2010,Saskatchewan,Provincial Government,Physicians,"793,134,268",754
2011,Saskatchewan,Provincial Government,Physicians,"872,375,811",818
2012,Saskatchewan,Provincial Government,Physicians,"899,967,015",830
2013,Saskatchewan,Provincial Government,Physicians,"970,179,456",882
2014,Saskatchewan,Provincial Government,Physicians,"1,011,400,431",909
2015,Saskatchewan,Provincial Government,Physicians,"1,061,043,432",947
2016,Saskatchewan,Provincial Government,Physicians,"1,114,520,543",981
2017,Saskatchewan,Provincial Government,Physicians,"1,141,501,810",992
2018,Saskatchewan,Provincial Government,Physicians,"1,150,738,970",990
2019,Saskatchewan,Provincial Government,Physicians,"1,164,254,626",995
1975,Saskatchewan,Provincial Government,Other Professionals,"7,235,250",8
1976,Saskatchewan,Provincial Government,Other Professionals,"8,928,250",10
1977,Saskatchewan,Provincial Government,Other Professionals,"10,917,250",12
1978,Saskatchewan,Provincial Government,Other Professionals,"12,897,500",14
1979,Saskatchewan,Provincial Government,Other Professionals,"14,174,000",15
1980,Saskatchewan,Provincial Government,Other Professionals,"17,745,000",18
1981,Saskatchewan,Provincial Government,Other Professionals,"21,905,500",22
1982,Saskatchewan,Provincial Government,Other Professionals,"26,415,500",27
1983,Saskatchewan,Provincial Government,Other Professionals,"30,390,000",30
1984,Saskatchewan,Provincial Government,Other Professionals,"31,264,750",31
1985,Saskatchewan,Provincial Government,Other Professionals,"33,018,500",32
1986,Saskatchewan,Provincial Government,Other Professionals,"34,643,500",34
1987,Saskatchewan,Provincial Government,Other Professionals,"34,530,500",33
1988,Saskatchewan,Provincial Government,Other Professionals,"32,779,750",32
1989,Saskatchewan,Provincial Government,Other Professionals,"33,606,750",33
1990,Saskatchewan,Provincial Government,Other Professionals,"35,280,250",35
1991,Saskatchewan,Provincial Government,Other Professionals,"38,496,500",38
1992,Saskatchewan,Provincial Government,Other Professionals,"33,098,500",33
1993,Saskatchewan,Provincial Government,Other Professionals,"23,583,261",23
1994,Saskatchewan,Provincial Government,Other Professionals,"18,648,115",18
1995,Saskatchewan,Provincial Government,Other Professionals,"17,716,846",17
1996,Saskatchewan,Provincial Government,Other Professionals,"18,454,333",18
1997,Saskatchewan,Provincial Government,Other Professionals,"19,392,739",19
1998,Saskatchewan,Provincial Government,Other Professionals,"21,443,941",21
1999,Saskatchewan,Provincial Government,Other Professionals,"27,948,869",28
2000,Saskatchewan,Provincial Government,Other Professionals,"29,955,161",30
2001,Saskatchewan,Provincial Government,Other Professionals,"30,673,001",31
2002,Saskatchewan,Provincial Government,Other Professionals,"30,705,867",31
2003,Saskatchewan,Provincial Government,Other Professionals,"31,159,245",31
2004,Saskatchewan,Provincial Government,Other Professionals,"32,436,381",33
2005,Saskatchewan,Provincial Government,Other Professionals,"33,809,176",34
2006,Saskatchewan,Provincial Government,Other Professionals,"34,941,573",35
2007,Saskatchewan,Provincial Government,Other Professionals,"35,414,755",35
2008,Saskatchewan,Provincial Government,Other Professionals,"36,670,101",36
2009,Saskatchewan,Provincial Government,Other Professionals,"40,230,677",39
2010,Saskatchewan,Provincial Government,Other Professionals,"34,205,383",33
2011,Saskatchewan,Provincial Government,Other Professionals,"32,765,504",31
2012,Saskatchewan,Provincial Government,Other Professionals,"34,140,526",32
2013,Saskatchewan,Provincial Government,Other Professionals,"34,539,670",31
2014,Saskatchewan,Provincial Government,Other Professionals,"43,164,608",39
2015,Saskatchewan,Provincial Government,Other Professionals,"50,106,828",45
2016,Saskatchewan,Provincial Government,Other Professionals,"52,710,823",46
2017,Saskatchewan,Provincial Government,Other Professionals,"54,981,429",48
2018,Saskatchewan,Provincial Government,Other Professionals,"54,991,305",47
2019,Saskatchewan,Provincial Government,Other Professionals,"57,830,516",49
1975,Saskatchewan,Provincial Government,Drugs,"9,408,250",10
1976,Saskatchewan,Provincial Government,Drugs,"16,271,250",17
1977,Saskatchewan,Provincial Government,Drugs,"18,953,750",20
1978,Saskatchewan,Provincial Government,Drugs,"21,511,750",23
1979,Saskatchewan,Provincial Government,Drugs,"24,626,250",26
1980,Saskatchewan,Provincial Government,Drugs,"28,550,250",30
1981,Saskatchewan,Provincial Government,Drugs,"33,215,000",34
1982,Saskatchewan,Provincial Government,Drugs,"41,497,500",42
1983,Saskatchewan,Provincial Government,Drugs,"49,652,750",50
1984,Saskatchewan,Provincial Government,Drugs,"57,597,000",57
1985,Saskatchewan,Provincial Government,Drugs,"67,575,000",66
1986,Saskatchewan,Provincial Government,Drugs,"81,060,750",79
1987,Saskatchewan,Provincial Government,Drugs,"67,788,250",66
1988,Saskatchewan,Provincial Government,Drugs,"62,999,500",61
1989,Saskatchewan,Provincial Government,Drugs,"74,784,000",73
1990,Saskatchewan,Provincial Government,Drugs,"88,732,750",88
1991,Saskatchewan,Provincial Government,Drugs,"93,514,750",93
1992,Saskatchewan,Provincial Government,Drugs,"84,991,000",85
1993,Saskatchewan,Provincial Government,Drugs,"57,764,709",57
1994,Saskatchewan,Provincial Government,Drugs,"56,155,265",56
1995,Saskatchewan,Provincial Government,Drugs,"63,774,514",63
1996,Saskatchewan,Provincial Government,Drugs,"66,582,719",65
1997,Saskatchewan,Provincial Government,Drugs,"69,270,507",68
1998,Saskatchewan,Provincial Government,Drugs,"78,931,747",78
1999,Saskatchewan,Provincial Government,Drugs,"89,099,597",88
2000,Saskatchewan,Provincial Government,Drugs,"100,151,223",99
2001,Saskatchewan,Provincial Government,Drugs,"123,278,987",123
2002,Saskatchewan,Provincial Government,Drugs,"143,351,104",144
2003,Saskatchewan,Provincial Government,Drugs,"161,203,696",162
2004,Saskatchewan,Provincial Government,Drugs,"178,291,149",179
2005,Saskatchewan,Provincial Government,Drugs,"197,347,783",199
2006,Saskatchewan,Provincial Government,Drugs,"214,010,449",216
2007,Saskatchewan,Provincial Government,Drugs,"262,191,775",262
2008,Saskatchewan,Provincial Government,Drugs,"285,546,767",281
2009,Saskatchewan,Provincial Government,Drugs,"301,284,609",291
2010,Saskatchewan,Provincial Government,Drugs,"316,778,980",301
2011,Saskatchewan,Provincial Government,Drugs,"315,675,978",296
2012,Saskatchewan,Provincial Government,Drugs,"305,646,262",282
2013,Saskatchewan,Provincial Government,Drugs,"311,544,537",283
2014,Saskatchewan,Provincial Government,Drugs,"314,216,186",282
2015,Saskatchewan,Provincial Government,Drugs,"317,189,446",283
2016,Saskatchewan,Provincial Government,Drugs,"317,679,450",280
2017,Saskatchewan,Provincial Government,Drugs,"321,035,943",279
2018,Saskatchewan,Provincial Government,Drugs,"326,864,089",281
2019,Saskatchewan,Provincial Government,Drugs,"330,669,382",283
1975,Saskatchewan,Provincial Government,Capital,"8,358,500",9
1976,Saskatchewan,Provincial Government,Capital,"7,339,250",8
1977,Saskatchewan,Provincial Government,Capital,"8,882,750",9
1978,Saskatchewan,Provincial Government,Capital,"10,360,750",11
1979,Saskatchewan,Provincial Government,Capital,"17,265,480",18
1980,Saskatchewan,Provincial Government,Capital,"22,547,077",23
1981,Saskatchewan,Provincial Government,Capital,"23,644,750",24
1982,Saskatchewan,Provincial Government,Capital,"25,718,250",26
1983,Saskatchewan,Provincial Government,Capital,"22,413,250",22
1984,Saskatchewan,Provincial Government,Capital,"17,106,750",17
1985,Saskatchewan,Provincial Government,Capital,"34,735,750",34
1986,Saskatchewan,Provincial Government,Capital,"63,477,500",62
1987,Saskatchewan,Provincial Government,Capital,"75,650,000",73
1988,Saskatchewan,Provincial Government,Capital,"114,594,146",111
1989,Saskatchewan,Provincial Government,Capital,"147,483,420",145
1990,Saskatchewan,Provincial Government,Capital,"169,252,538",168
1991,Saskatchewan,Provincial Government,Capital,"125,525,824",125
1992,Saskatchewan,Provincial Government,Capital,"114,688,385",114
1993,Saskatchewan,Provincial Government,Capital,"74,071,545",74
1994,Saskatchewan,Provincial Government,Capital,"81,165,808",80
1995,Saskatchewan,Provincial Government,Capital,"80,772,543",80
1996,Saskatchewan,Provincial Government,Capital,"83,793,103",82
1997,Saskatchewan,Provincial Government,Capital,"127,937,240",126
1998,Saskatchewan,Provincial Government,Capital,"140,400,000",138
1999,Saskatchewan,Provincial Government,Capital,"159,500,000",157
2000,Saskatchewan,Provincial Government,Capital,"109,000,000",108
2001,Saskatchewan,Provincial Government,Capital,"131,500,000",131
2002,Saskatchewan,Provincial Government,Capital,"98,900,000",99
2003,Saskatchewan,Provincial Government,Capital,"88,100,000",88
2004,Saskatchewan,Provincial Government,Capital,"79,400,000",80
2005,Saskatchewan,Provincial Government,Capital,"97,200,000",98
2006,Saskatchewan,Provincial Government,Capital,"114,100,000",115
2007,Saskatchewan,Provincial Government,Capital,"111,400,000",111
2008,Saskatchewan,Provincial Government,Capital,"197,200,000",194
2009,Saskatchewan,Provincial Government,Capital,"181,600,000",175
2010,Saskatchewan,Provincial Government,Capital,"146,019,960",139
2011,Saskatchewan,Provincial Government,Capital,"207,785,674",195
2012,Saskatchewan,Provincial Government,Capital,"193,906,377",179
2013,Saskatchewan,Provincial Government,Capital,"224,000,000",204
2014,Saskatchewan,Provincial Government,Capital,"207,204,436",186
2015,Saskatchewan,Provincial Government,Capital,"279,123,475",249
2016,Saskatchewan,Provincial Government,Capital,"339,527,614",299
2017,Saskatchewan,Provincial Government,Capital,"316,363,448",275
2018,Saskatchewan,Provincial Government,Capital,"155,764,605",134
2019,Saskatchewan,Provincial Government,Capital,"99,115,454",85
1975,Saskatchewan,Provincial Government,Public Health,"17,895,750",20
1976,Saskatchewan,Provincial Government,Public Health,"19,897,750",21
1977,Saskatchewan,Provincial Government,Public Health,"22,603,000",24
1978,Saskatchewan,Provincial Government,Public Health,"25,929,750",27
1979,Saskatchewan,Provincial Government,Public Health,"27,191,500",28
1980,Saskatchewan,Provincial Government,Public Health,"31,789,000",33
1981,Saskatchewan,Provincial Government,Public Health,"35,443,750",36
1982,Saskatchewan,Provincial Government,Public Health,"39,892,500",40
1983,Saskatchewan,Provincial Government,Public Health,"45,291,500",45
1984,Saskatchewan,Provincial Government,Public Health,"50,183,250",49
1985,Saskatchewan,Provincial Government,Public Health,"50,873,500",50
1986,Saskatchewan,Provincial Government,Public Health,"55,784,750",54
1987,Saskatchewan,Provincial Government,Public Health,"60,929,500",59
1988,Saskatchewan,Provincial Government,Public Health,"72,955,250",71
1989,Saskatchewan,Provincial Government,Public Health,"78,224,750",77
1990,Saskatchewan,Provincial Government,Public Health,"82,687,250",82
1991,Saskatchewan,Provincial Government,Public Health,"86,052,250",86
1992,Saskatchewan,Provincial Government,Public Health,"88,329,000",88
1993,Saskatchewan,Provincial Government,Public Health,"95,888,921",95
1994,Saskatchewan,Provincial Government,Public Health,"95,279,471",94
1995,Saskatchewan,Provincial Government,Public Health,"127,064,276",125
1996,Saskatchewan,Provincial Government,Public Health,"137,046,093",134
1997,Saskatchewan,Provincial Government,Public Health,"140,048,975",138
1998,Saskatchewan,Provincial Government,Public Health,"166,700,630",164
1999,Saskatchewan,Provincial Government,Public Health,"156,740,406",154
2000,Saskatchewan,Provincial Government,Public Health,"157,916,125",157
2001,Saskatchewan,Provincial Government,Public Health,"168,212,398",168
2002,Saskatchewan,Provincial Government,Public Health,"176,341,363",177
2003,Saskatchewan,Provincial Government,Public Health,"223,353,096",224
2004,Saskatchewan,Provincial Government,Public Health,"255,655,759",256
2005,Saskatchewan,Provincial Government,Public Health,"293,883,933",296
2006,Saskatchewan,Provincial Government,Public Health,"290,321,596",293
2007,Saskatchewan,Provincial Government,Public Health,"344,955,160",344
